,Q29
13611,"200,000-249,999"
13612,$0-999
13613,"70,000-79,999"
13616,"40,000-49,999"
13617,"5,000-7,499"
13627,$0-999
13628,"125,000-149,999"
13641,"5,000-7,499"
13642,"25,000-29,999"
13644,$0-999
13648,"3,000-3,999"
13649,"2,000-2,999"
13651,$0-999
13652,"100,000-124,999"
13653,"125,000-149,999"
13658,"40,000-49,999"
13661,"250,000-299,999"
13666,"60,000-69,999"
13670,"1,000-1,999"
13671,$0-999
13675,"100,000-124,999"
13678,"10,000-14,999"
13680,"125,000-149,999"
13682,"150,000-199,999"
13687,"3,000-3,999"
13692,"3,000-3,999"
13693,"15,000-19,999"
13695,"3,000-3,999"
13698,"5,000-7,499"
13699,"60,000-69,999"
13701,"90,000-99,999"
13702,$0-999
13705,"60,000-69,999"
13708,"70,000-79,999"
13709,"20,000-24,999"
13710,"200,000-249,999"
13711,"7,500-9,999"
13716,"20,000-24,999"
13718,"30,000-39,999"
13728,$0-999
13731,$0-999
13732,"2,000-2,999"
13734,"30,000-39,999"
13735,"80,000-89,999"
13736,"50,000-59,999"
13744,"40,000-49,999"
13745,"10,000-14,999"
13746,"4,000-4,999"
13750,"100,000-124,999"
13753,"40,000-49,999"
13754,"200,000-249,999"
13755,"7,500-9,999"
13757,"4,000-4,999"
13762,"15,000-19,999"
13771,"125,000-149,999"
13775,"1,000-1,999"
13780,"3,000-3,999"
13782,"60,000-69,999"
13785,"50,000-59,999"
13787,"150,000-199,999"
13789,$0-999
13797,"40,000-49,999"
13799,"150,000-199,999"
13800,$0-999
13801,"40,000-49,999"
13802,$0-999
13805,"20,000-24,999"
13806,"70,000-79,999"
13807,$0-999
13808,"80,000-89,999"
13812,"20,000-24,999"
13822,$0-999
13825,"5,000-7,499"
13826,"200,000-249,999"
13831,"40,000-49,999"
13832,"10,000-14,999"
13836,"150,000-199,999"
13838,"30,000-39,999"
13839,"90,000-99,999"
13840,"50,000-59,999"
13842,"250,000-299,999"
13843,"5,000-7,499"
13844,$0-999
13846,"70,000-79,999"
13847,"50,000-59,999"
13848,"50,000-59,999"
13851,"1,000-1,999"
13854,$0-999
13855,"2,000-2,999"
13857,"5,000-7,499"
13859,"7,500-9,999"
13861,"100,000-124,999"
13862,"10,000-14,999"
13865,"50,000-59,999"
13866,"5,000-7,499"
13869,"5,000-7,499"
13870,"25,000-29,999"
13871,"25,000-29,999"
13872,"7,500-9,999"
13873,"40,000-49,999"
13880,"5,000-7,499"
13881,"150,000-199,999"
13885,"30,000-39,999"
13886,"90,000-99,999"
13887,"15,000-19,999"
13889,"80,000-89,999"
13891,"100,000-124,999"
13893,"10,000-14,999"
13895,"7,500-9,999"
13896,"10,000-14,999"
13898,"80,000-89,999"
13900,"1,000-1,999"
13901,"100,000-124,999"
13902,"20,000-24,999"
13919,"100,000-124,999"
13922,"5,000-7,499"
13923,"10,000-14,999"
13928,"5,000-7,499"
13929,$0-999
13931,"125,000-149,999"
13936,$0-999
13940,$0-999
13943,"70,000-79,999"
13944,"15,000-19,999"
13946,"15,000-19,999"
13948,"$500,000-999,999"
13950,"50,000-59,999"
13951,"10,000-14,999"
13952,"50,000-59,999"
13958,"150,000-199,999"
13965,"150,000-199,999"
13970,"150,000-199,999"
13972,"15,000-19,999"
13975,"100,000-124,999"
13976,$0-999
13977,"4,000-4,999"
13980,"10,000-14,999"
13983,"70,000-79,999"
13986,"1,000-1,999"
13987,"7,500-9,999"
13988,"60,000-69,999"
13989,"10,000-14,999"
13998,"70,000-79,999"
13999,"25,000-29,999"
14003,"1,000-1,999"
14004,"1,000-1,999"
14005,"15,000-19,999"
14006,"4,000-4,999"
14009,"50,000-59,999"
14012,"40,000-49,999"
14015,"15,000-19,999"
14016,"90,000-99,999"
14018,$0-999
14021,$0-999
14030,$0-999
14033,"30,000-39,999"
14035,"10,000-14,999"
14036,"70,000-79,999"
14037,"100,000-124,999"
14039,"15,000-19,999"
14041,"10,000-14,999"
14050,"125,000-149,999"
14053,"30,000-39,999"
14058,"15,000-19,999"
14064,"150,000-199,999"
14065,"10,000-14,999"
14066,"2,000-2,999"
14067,"1,000-1,999"
14073,"10,000-14,999"
14074,"1,000-1,999"
14081,"20,000-24,999"
14083,"5,000-7,499"
14084,"60,000-69,999"
14087,"70,000-79,999"
14093,"40,000-49,999"
14101,"90,000-99,999"
14105,"100,000-124,999"
14106,"50,000-59,999"
14117,"80,000-89,999"
14121,"5,000-7,499"
14123,"30,000-39,999"
14124,"7,500-9,999"
14126,$0-999
14127,"25,000-29,999"
14128,"1,000-1,999"
14134,"300,000-499,999"
14136,"30,000-39,999"
14137,"50,000-59,999"
14139,"10,000-14,999"
14140,"80,000-89,999"
14141,$0-999
14144,"1,000-1,999"
14146,"80,000-89,999"
14147,"7,500-9,999"
14150,$0-999
14152,"10,000-14,999"
14153,"50,000-59,999"
14155,"30,000-39,999"
14157,">$1,000,000"
14159,"20,000-24,999"
14163,"10,000-14,999"
14166,"7,500-9,999"
14169,"125,000-149,999"
14171,"40,000-49,999"
14175,"10,000-14,999"
14177,"60,000-69,999"
14180,"70,000-79,999"
14182,"300,000-499,999"
14183,"125,000-149,999"
14188,"200,000-249,999"
14196,"30,000-39,999"
14199,"60,000-69,999"
14201,"4,000-4,999"
14204,"1,000-1,999"
14206,$0-999
14211,"100,000-124,999"
14212,"3,000-3,999"
14219,"40,000-49,999"
14225,"1,000-1,999"
14230,"70,000-79,999"
14231,"5,000-7,499"
14234,"2,000-2,999"
14236,"125,000-149,999"
14238,"50,000-59,999"
14250,"90,000-99,999"
14251,"150,000-199,999"
14252,"40,000-49,999"
14254,"25,000-29,999"
14257,"1,000-1,999"
14258,"3,000-3,999"
14260,"7,500-9,999"
14262,"15,000-19,999"
14263,"80,000-89,999"
14266,"50,000-59,999"
14269,"15,000-19,999"
14271,"3,000-3,999"
14279,$0-999
14281,"10,000-14,999"
14282,"10,000-14,999"
14284,$0-999
14287,"100,000-124,999"
14291,"25,000-29,999"
14292,"5,000-7,499"
14293,"90,000-99,999"
14294,$0-999
14295,"3,000-3,999"
14296,"7,500-9,999"
14298,"100,000-124,999"
14299,"150,000-199,999"
14301,"70,000-79,999"
14304,$0-999
14308,"1,000-1,999"
14309,"30,000-39,999"
14311,"1,000-1,999"
14312,"1,000-1,999"
14313,"60,000-69,999"
14315,"5,000-7,499"
14316,"1,000-1,999"
14318,"5,000-7,499"
14322,$0-999
14324,$0-999
14325,"150,000-199,999"
14327,"3,000-3,999"
14333,"90,000-99,999"
14334,"100,000-124,999"
14336,"15,000-19,999"
14338,$0-999
14340,"70,000-79,999"
14341,"1,000-1,999"
14343,"2,000-2,999"
14345,"150,000-199,999"
14350,"70,000-79,999"
14351,"80,000-89,999"
14353,"1,000-1,999"
14354,"20,000-24,999"
14357,$0-999
14360,"$500,000-999,999"
14362,"50,000-59,999"
14366,"20,000-24,999"
14370,"60,000-69,999"
14373,"15,000-19,999"
14374,"5,000-7,499"
14379,"80,000-89,999"
14382,"2,000-2,999"
14387,"250,000-299,999"
14393,"30,000-39,999"
14394,"70,000-79,999"
14397,"300,000-499,999"
14398,"20,000-24,999"
14401,"30,000-39,999"
14407,$0-999
14410,"30,000-39,999"
14412,"250,000-299,999"
14417,"30,000-39,999"
14420,"250,000-299,999"
14423,"1,000-1,999"
14424,"150,000-199,999"
14425,"60,000-69,999"
14426,"150,000-199,999"
14428,"5,000-7,499"
14433,"30,000-39,999"
14438,"25,000-29,999"
14442,"25,000-29,999"
14452,"10,000-14,999"
14453,"200,000-249,999"
14455,"30,000-39,999"
14459,"5,000-7,499"
14464,"125,000-149,999"
14471,"7,500-9,999"
14477,"10,000-14,999"
14478,$0-999
14479,"30,000-39,999"
14492,"25,000-29,999"
14500,"100,000-124,999"
14501,"150,000-199,999"
14503,"50,000-59,999"
14505,$0-999
14508,"200,000-249,999"
14509,"150,000-199,999"
14510,"4,000-4,999"
14514,"60,000-69,999"
14515,"60,000-69,999"
14519,"80,000-89,999"
14521,"7,500-9,999"
14522,$0-999
14524,"15,000-19,999"
14525,$0-999
14526,"150,000-199,999"
14530,$0-999
14535,"70,000-79,999"
14544,"50,000-59,999"
14549,"20,000-24,999"
14550,"5,000-7,499"
14551,"10,000-14,999"
14554,"150,000-199,999"
14557,"7,500-9,999"
14560,"3,000-3,999"
14562,"20,000-24,999"
14563,"4,000-4,999"
14572,$0-999
14573,"60,000-69,999"
14575,"10,000-14,999"
14576,"100,000-124,999"
14577,"7,500-9,999"
14579,"60,000-69,999"
14580,"100,000-124,999"
14582,"1,000-1,999"
14587,"25,000-29,999"
14589,$0-999
14592,"30,000-39,999"
14594,"80,000-89,999"
14596,"100,000-124,999"
14602,$0-999
14604,"30,000-39,999"
14609,"50,000-59,999"
14613,"125,000-149,999"
14614,"100,000-124,999"
14616,"7,500-9,999"
14625,"25,000-29,999"
14628,"4,000-4,999"
14629,"90,000-99,999"
14631,"80,000-89,999"
14640,"60,000-69,999"
14642,"60,000-69,999"
14643,$0-999
14646,"30,000-39,999"
14650,"10,000-14,999"
14655,"80,000-89,999"
14656,"3,000-3,999"
14662,">$1,000,000"
14664,"25,000-29,999"
14665,"60,000-69,999"
14666,$0-999
14667,"7,500-9,999"
14669,"60,000-69,999"
14670,"30,000-39,999"
14673,$0-999
14676,"80,000-89,999"
14678,"70,000-79,999"
14679,$0-999
14682,"7,500-9,999"
14684,"10,000-14,999"
14687,"7,500-9,999"
14689,"1,000-1,999"
14691,"25,000-29,999"
14697,$0-999
14699,"7,500-9,999"
14700,"1,000-1,999"
14701,"250,000-299,999"
14704,"7,500-9,999"
14706,"30,000-39,999"
14707,"200,000-249,999"
14710,"70,000-79,999"
14715,"70,000-79,999"
14719,"10,000-14,999"
14721,"150,000-199,999"
14722,"40,000-49,999"
14723,"150,000-199,999"
14724,"40,000-49,999"
14729,"300,000-499,999"
14734,"1,000-1,999"
14737,"60,000-69,999"
14739,"70,000-79,999"
14740,"2,000-2,999"
14745,"1,000-1,999"
14748,"5,000-7,499"
14751,"125,000-149,999"
14753,"125,000-149,999"
14759,"50,000-59,999"
14760,$0-999
14763,$0-999
14766,"90,000-99,999"
14767,"125,000-149,999"
14769,"40,000-49,999"
14770,$0-999
14776,"80,000-89,999"
14780,"1,000-1,999"
14785,"5,000-7,499"
14788,">$1,000,000"
14789,"5,000-7,499"
14790,"30,000-39,999"
14795,"150,000-199,999"
14796,"70,000-79,999"
14798,">$1,000,000"
14799,"7,500-9,999"
14800,$0-999
14805,"1,000-1,999"
14809,"10,000-14,999"
14818,$0-999
14819,"2,000-2,999"
14820,"40,000-49,999"
14827,"5,000-7,499"
14830,"100,000-124,999"
14834,"5,000-7,499"
14835,"150,000-199,999"
14839,"80,000-89,999"
14841,"25,000-29,999"
14842,$0-999
14843,$0-999
14844,"60,000-69,999"
14857,"$500,000-999,999"
14859,"100,000-124,999"
14863,"25,000-29,999"
14864,"5,000-7,499"
14867,$0-999
14869,$0-999
14875,$0-999
14876,"125,000-149,999"
14880,"10,000-14,999"
14881,"10,000-14,999"
14885,$0-999
14893,"10,000-14,999"
14894,"$500,000-999,999"
14896,"1,000-1,999"
14899,"200,000-249,999"
14901,"125,000-149,999"
14902,"1,000-1,999"
14905,"30,000-39,999"
14908,"7,500-9,999"
14912,"2,000-2,999"
14913,"20,000-24,999"
14915,$0-999
14916,"20,000-24,999"
14917,"10,000-14,999"
14918,$0-999
14920,"50,000-59,999"
14922,"3,000-3,999"
14925,"150,000-199,999"
14931,"40,000-49,999"
14937,"20,000-24,999"
14946,$0-999
14950,"3,000-3,999"
14953,"30,000-39,999"
14956,"80,000-89,999"
14957,"5,000-7,499"
14961,"100,000-124,999"
14965,"5,000-7,499"
14966,"250,000-299,999"
14967,$0-999
14968,"100,000-124,999"
14969,"3,000-3,999"
14972,$0-999
14976,"90,000-99,999"
14979,"1,000-1,999"
14981,$0-999
14983,"4,000-4,999"
14984,$0-999
14985,"7,500-9,999"
14986,"2,000-2,999"
14999,$0-999
15001,"10,000-14,999"
15002,"70,000-79,999"
15005,"10,000-14,999"
15006,"10,000-14,999"
15010,"40,000-49,999"
15014,"25,000-29,999"
15017,"50,000-59,999"
15018,"200,000-249,999"
15021,$0-999
15025,"30,000-39,999"
15026,"100,000-124,999"
15031,"10,000-14,999"
15037,$0-999
15039,"80,000-89,999"
15040,$0-999
15041,"40,000-49,999"
15046,"10,000-14,999"
15049,"150,000-199,999"
15050,"200,000-249,999"
15051,"40,000-49,999"
15053,"4,000-4,999"
15054,"30,000-39,999"
15057,"100,000-124,999"
15059,"20,000-24,999"
15060,"5,000-7,499"
15062,$0-999
15066,"90,000-99,999"
15067,"7,500-9,999"
15071,"80,000-89,999"
15072,"30,000-39,999"
15075,$0-999
15078,"50,000-59,999"
15081,"50,000-59,999"
15085,"300,000-499,999"
15087,"$500,000-999,999"
15088,$0-999
15089,"150,000-199,999"
15092,"1,000-1,999"
15097,"10,000-14,999"
15098,"40,000-49,999"
15099,"10,000-14,999"
15101,"2,000-2,999"
15108,"15,000-19,999"
15110,"50,000-59,999"
15119,"4,000-4,999"
15124,$0-999
15125,"20,000-24,999"
15127,$0-999
15129,$0-999
15132,"20,000-24,999"
15136,"$500,000-999,999"
15139,"40,000-49,999"
15140,"100,000-124,999"
15143,"1,000-1,999"
15144,"3,000-3,999"
15145,"200,000-249,999"
15146,"80,000-89,999"
15149,"50,000-59,999"
15150,"40,000-49,999"
15151,"3,000-3,999"
15153,"10,000-14,999"
15155,"15,000-19,999"
15157,"3,000-3,999"
15161,"10,000-14,999"
15163,"20,000-24,999"
15164,$0-999
15168,$0-999
15170,$0-999
15173,"30,000-39,999"
15184,"70,000-79,999"
15186,"20,000-24,999"
15190,"1,000-1,999"
15198,"50,000-59,999"
15204,"7,500-9,999"
15206,"10,000-14,999"
15210,"3,000-3,999"
15211,$0-999
15213,$0-999
15216,"200,000-249,999"
15218,$0-999
15224,"30,000-39,999"
15226,"4,000-4,999"
15227,"250,000-299,999"
15228,"25,000-29,999"
15231,"125,000-149,999"
15232,"2,000-2,999"
15233,"30,000-39,999"
15235,"7,500-9,999"
15240,$0-999
15245,"40,000-49,999"
15248,"40,000-49,999"
15249,"25,000-29,999"
15254,"100,000-124,999"
15258,"20,000-24,999"
15261,$0-999
15263,$0-999
15266,"60,000-69,999"
15267,">$1,000,000"
15270,"2,000-2,999"
15272,"70,000-79,999"
15273,"7,500-9,999"
15275,"1,000-1,999"
15281,"1,000-1,999"
15283,"10,000-14,999"
15284,"200,000-249,999"
15287,$0-999
15288,$0-999
15290,"30,000-39,999"
15293,"15,000-19,999"
15294,"3,000-3,999"
15299,"1,000-1,999"
15306,"15,000-19,999"
15307,$0-999
15309,"10,000-14,999"
15312,"100,000-124,999"
15313,"2,000-2,999"
15319,"250,000-299,999"
15320,"100,000-124,999"
15321,"150,000-199,999"
15324,"20,000-24,999"
15325,$0-999
15334,"1,000-1,999"
15336,"15,000-19,999"
15343,"60,000-69,999"
15345,$0-999
15347,"40,000-49,999"
15348,"50,000-59,999"
15349,"90,000-99,999"
15352,"40,000-49,999"
15356,"7,500-9,999"
15370,"2,000-2,999"
15374,"4,000-4,999"
15380,"1,000-1,999"
15387,$0-999
15392,"1,000-1,999"
15396,"4,000-4,999"
15397,"150,000-199,999"
15400,"60,000-69,999"
15412,$0-999
15416,"100,000-124,999"
15420,"10,000-14,999"
15422,"7,500-9,999"
15423,"10,000-14,999"
15430,"40,000-49,999"
15432,"1,000-1,999"
15433,"3,000-3,999"
15434,"4,000-4,999"
15435,$0-999
15437,"4,000-4,999"
15439,"20,000-24,999"
15441,"60,000-69,999"
15442,"30,000-39,999"
15445,"1,000-1,999"
15450,"150,000-199,999"
15456,"30,000-39,999"
15458,"40,000-49,999"
15459,"15,000-19,999"
15460,"100,000-124,999"
15462,$0-999
15464,"25,000-29,999"
15472,"30,000-39,999"
15474,"10,000-14,999"
15478,"90,000-99,999"
15479,"7,500-9,999"
15481,"70,000-79,999"
15482,"5,000-7,499"
15484,"10,000-14,999"
15485,"40,000-49,999"
15489,"5,000-7,499"
15492,"3,000-3,999"
15496,"7,500-9,999"
15497,"100,000-124,999"
15498,$0-999
15499,"100,000-124,999"
15501,"30,000-39,999"
15505,"10,000-14,999"
15506,"5,000-7,499"
15507,"7,500-9,999"
15508,"1,000-1,999"
15512,"125,000-149,999"
15513,"90,000-99,999"
15515,"60,000-69,999"
15516,$0-999
15519,$0-999
15520,$0-999
15521,"150,000-199,999"
15522,$0-999
15525,"100,000-124,999"
15531,"3,000-3,999"
15535,"7,500-9,999"
15538,"100,000-124,999"
15542,$0-999
15543,"70,000-79,999"
15548,"3,000-3,999"
15549,"5,000-7,499"
15552,"40,000-49,999"
15553,"30,000-39,999"
15559,"50,000-59,999"
15562,"1,000-1,999"
15573,"150,000-199,999"
15581,"150,000-199,999"
15582,"50,000-59,999"
15584,"20,000-24,999"
15585,"30,000-39,999"
15592,"4,000-4,999"
15593,"10,000-14,999"
15598,"3,000-3,999"
15600,"30,000-39,999"
15602,"20,000-24,999"
15606,"30,000-39,999"
15609,"70,000-79,999"
15615,"1,000-1,999"
15621,"70,000-79,999"
15623,"30,000-39,999"
15625,$0-999
15629,$0-999
15631,"5,000-7,499"
15636,"3,000-3,999"
15643,$0-999
15644,$0-999
15646,"20,000-24,999"
15647,"5,000-7,499"
15650,$0-999
15651,"30,000-39,999"
15652,"7,500-9,999"
15658,"100,000-124,999"
15659,"20,000-24,999"
15660,$0-999
15670,"15,000-19,999"
15673,"5,000-7,499"
15674,"125,000-149,999"
15676,"7,500-9,999"
15680,"200,000-249,999"
15681,"80,000-89,999"
15682,"30,000-39,999"
15685,"7,500-9,999"
15687,"70,000-79,999"
15692,"125,000-149,999"
15695,"30,000-39,999"
15699,"60,000-69,999"
15701,"7,500-9,999"
15711,"300,000-499,999"
15714,"80,000-89,999"
15715,"7,500-9,999"
15716,"2,000-2,999"
15720,"40,000-49,999"
15727,"30,000-39,999"
15730,"30,000-39,999"
15733,"$500,000-999,999"
15736,$0-999
15737,"1,000-1,999"
15740,"150,000-199,999"
15741,"30,000-39,999"
15751,"30,000-39,999"
15752,"80,000-89,999"
15755,"150,000-199,999"
15763,"70,000-79,999"
15764,"1,000-1,999"
15766,"150,000-199,999"
15770,$0-999
15773,"70,000-79,999"
15780,"70,000-79,999"
15784,"100,000-124,999"
15786,"30,000-39,999"
15791,"20,000-24,999"
15793,"50,000-59,999"
15794,"80,000-89,999"
15795,"10,000-14,999"
15796,"25,000-29,999"
15797,"$500,000-999,999"
15798,"125,000-149,999"
15800,"30,000-39,999"
15802,"1,000-1,999"
15805,"1,000-1,999"
15816,"40,000-49,999"
15818,"100,000-124,999"
15820,"150,000-199,999"
15823,"50,000-59,999"
15825,"30,000-39,999"
15830,"200,000-249,999"
15833,"1,000-1,999"
15836,$0-999
15837,"200,000-249,999"
15839,"10,000-14,999"
15840,"30,000-39,999"
15843,"5,000-7,499"
15847,"2,000-2,999"
15851,"1,000-1,999"
15852,"30,000-39,999"
15853,"150,000-199,999"
15855,"40,000-49,999"
15860,"15,000-19,999"
15861,"60,000-69,999"
15864,"20,000-24,999"
15865,$0-999
15868,"25,000-29,999"
15869,"50,000-59,999"
15874,"70,000-79,999"
15875,"200,000-249,999"
15878,$0-999
15879,"50,000-59,999"
15881,"125,000-149,999"
15883,"10,000-14,999"
15887,"50,000-59,999"
15888,$0-999
15892,"50,000-59,999"
15894,"7,500-9,999"
15905,"30,000-39,999"
15906,"100,000-124,999"
15911,"80,000-89,999"
15912,"30,000-39,999"
15920,"150,000-199,999"
15923,$0-999
15927,"2,000-2,999"
15928,"125,000-149,999"
15935,"70,000-79,999"
15939,"20,000-24,999"
15948,$0-999
15950,$0-999
15955,$0-999
15956,"10,000-14,999"
15957,"7,500-9,999"
15960,"150,000-199,999"
15961,"5,000-7,499"
15964,"7,500-9,999"
15966,"80,000-89,999"
15969,"150,000-199,999"
15971,"10,000-14,999"
15975,"30,000-39,999"
15976,"1,000-1,999"
15981,"50,000-59,999"
15982,"4,000-4,999"
15983,"70,000-79,999"
15988,"70,000-79,999"
15989,"40,000-49,999"
15990,"50,000-59,999"
15993,"150,000-199,999"
15994,"150,000-199,999"
15997,$0-999
15998,"60,000-69,999"
15999,"80,000-89,999"
16006,"20,000-24,999"
16007,"15,000-19,999"
16009,$0-999
16011,"70,000-79,999"
16013,"40,000-49,999"
16018,"30,000-39,999"
16020,"7,500-9,999"
16028,$0-999
16031,$0-999
16036,"1,000-1,999"
16037,"70,000-79,999"
16038,"100,000-124,999"
16039,"100,000-124,999"
16040,"4,000-4,999"
16045,"5,000-7,499"
16052,"300,000-499,999"
16057,"2,000-2,999"
16067,"80,000-89,999"
16072,"10,000-14,999"
16073,"90,000-99,999"
16075,"1,000-1,999"
16085,"30,000-39,999"
16086,"2,000-2,999"
16089,"300,000-499,999"
16091,"60,000-69,999"
16093,"50,000-59,999"
16094,"90,000-99,999"
16095,"50,000-59,999"
16096,"60,000-69,999"
16101,"150,000-199,999"
16104,"40,000-49,999"
16111,"3,000-3,999"
16112,$0-999
16113,"1,000-1,999"
16117,"60,000-69,999"
16118,"40,000-49,999"
16122,"100,000-124,999"
16123,"100,000-124,999"
16125,"70,000-79,999"
16130,"200,000-249,999"
16131,"150,000-199,999"
16132,"5,000-7,499"
16135,"90,000-99,999"
16144,"40,000-49,999"
16149,"15,000-19,999"
16154,"4,000-4,999"
16155,"70,000-79,999"
16158,"30,000-39,999"
16161,"70,000-79,999"
16163,"25,000-29,999"
16166,"40,000-49,999"
16172,"40,000-49,999"
16175,"200,000-249,999"
16176,"3,000-3,999"
16178,"30,000-39,999"
16180,"7,500-9,999"
16182,"50,000-59,999"
16184,"30,000-39,999"
16188,$0-999
16190,$0-999
16191,"20,000-24,999"
16195,"10,000-14,999"
16196,"70,000-79,999"
16199,"125,000-149,999"
16201,"7,500-9,999"
16216,"80,000-89,999"
16218,"50,000-59,999"
16219,"80,000-89,999"
16221,$0-999
16222,"100,000-124,999"
16224,"2,000-2,999"
16227,"30,000-39,999"
16228,"70,000-79,999"
16230,"70,000-79,999"
16231,"80,000-89,999"
16233,"125,000-149,999"
16236,"3,000-3,999"
16237,"2,000-2,999"
16242,"125,000-149,999"
16247,"20,000-24,999"
16248,"15,000-19,999"
16251,"7,500-9,999"
16252,"20,000-24,999"
16254,"10,000-14,999"
16255,"80,000-89,999"
16258,"4,000-4,999"
16259,"1,000-1,999"
16260,"100,000-124,999"
16264,"30,000-39,999"
16274,"4,000-4,999"
16276,"7,500-9,999"
16279,"150,000-199,999"
16280,$0-999
16283,"2,000-2,999"
16290,"80,000-89,999"
16296,"5,000-7,499"
16302,"5,000-7,499"
16305,"70,000-79,999"
16314,"7,500-9,999"
16319,"5,000-7,499"
16329,$0-999
16338,"2,000-2,999"
16341,"40,000-49,999"
16349,"90,000-99,999"
16354,"200,000-249,999"
16359,"2,000-2,999"
16361,"40,000-49,999"
16364,$0-999
16365,"1,000-1,999"
16371,"30,000-39,999"
16374,"7,500-9,999"
16375,"10,000-14,999"
16378,"200,000-249,999"
16380,"125,000-149,999"
16383,"90,000-99,999"
16387,"25,000-29,999"
16390,"30,000-39,999"
16392,"4,000-4,999"
16403,"7,500-9,999"
16404,$0-999
16406,"3,000-3,999"
16414,"200,000-249,999"
16417,"1,000-1,999"
16418,"70,000-79,999"
16421,"5,000-7,499"
16422,"60,000-69,999"
16424,"150,000-199,999"
16425,"3,000-3,999"
16426,"4,000-4,999"
16428,"100,000-124,999"
16430,"10,000-14,999"
16432,"20,000-24,999"
16433,"300,000-499,999"
16440,"30,000-39,999"
16441,$0-999
16443,$0-999
16445,"10,000-14,999"
16447,"40,000-49,999"
16450,"200,000-249,999"
16451,"10,000-14,999"
16452,"40,000-49,999"
16453,"20,000-24,999"
16456,"30,000-39,999"
16458,"1,000-1,999"
16460,"5,000-7,499"
16464,$0-999
16469,"15,000-19,999"
16470,"90,000-99,999"
16473,"3,000-3,999"
16475,"20,000-24,999"
16476,"50,000-59,999"
16477,"1,000-1,999"
16484,"3,000-3,999"
16487,$0-999
16493,"25,000-29,999"
16495,"15,000-19,999"
16496,"40,000-49,999"
16497,"1,000-1,999"
16500,"150,000-199,999"
16501,"7,500-9,999"
16507,"7,500-9,999"
16509,"70,000-79,999"
16516,"30,000-39,999"
16518,"10,000-14,999"
16522,"1,000-1,999"
16524,"40,000-49,999"
16526,"10,000-14,999"
16528,"40,000-49,999"
16529,"15,000-19,999"
16538,"100,000-124,999"
16541,$0-999
16543,"50,000-59,999"
16546,"7,500-9,999"
16548,"4,000-4,999"
16549,"60,000-69,999"
16555,"1,000-1,999"
16557,$0-999
16558,"30,000-39,999"
16565,"7,500-9,999"
16572,"2,000-2,999"
16577,"70,000-79,999"
16578,"70,000-79,999"
16580,"30,000-39,999"
16582,"40,000-49,999"
16589,$0-999
16592,"5,000-7,499"
16599,"3,000-3,999"
16605,"20,000-24,999"
16606,"30,000-39,999"
16611,"30,000-39,999"
16614,$0-999
16616,"10,000-14,999"
16620,"80,000-89,999"
16623,"25,000-29,999"
16625,"70,000-79,999"
16626,"50,000-59,999"
16629,"40,000-49,999"
16631,$0-999
16632,"60,000-69,999"
16634,"5,000-7,499"
16639,"1,000-1,999"
16641,"80,000-89,999"
16652,"80,000-89,999"
16653,$0-999
16654,"70,000-79,999"
16657,$0-999
16658,"60,000-69,999"
16659,"4,000-4,999"
16662,"5,000-7,499"
16663,"125,000-149,999"
16666,"20,000-24,999"
16679,"80,000-89,999"
16687,"50,000-59,999"
16692,$0-999
16700,"250,000-299,999"
16704,"150,000-199,999"
16706,"200,000-249,999"
16709,$0-999
16711,$0-999
16715,"50,000-59,999"
16717,"3,000-3,999"
16718,"40,000-49,999"
16720,"50,000-59,999"
16723,"15,000-19,999"
16726,"1,000-1,999"
16729,"25,000-29,999"
16735,"90,000-99,999"
16738,"70,000-79,999"
16740,"15,000-19,999"
16742,"5,000-7,499"
16743,"2,000-2,999"
16745,"50,000-59,999"
16747,"125,000-149,999"
16748,"20,000-24,999"
16751,"10,000-14,999"
16753,"40,000-49,999"
16756,"5,000-7,499"
16758,"50,000-59,999"
16760,"50,000-59,999"
16762,"7,500-9,999"
16766,"4,000-4,999"
16769,"30,000-39,999"
16776,"1,000-1,999"
16778,"70,000-79,999"
16779,$0-999
16782,"30,000-39,999"
16786,"125,000-149,999"
16790,"3,000-3,999"
16793,"150,000-199,999"
16796,">$1,000,000"
16798,"1,000-1,999"
16799,"4,000-4,999"
16802,"50,000-59,999"
16804,"15,000-19,999"
16805,"7,500-9,999"
16807,"25,000-29,999"
16808,"150,000-199,999"
16812,"125,000-149,999"
16817,"25,000-29,999"
16822,"50,000-59,999"
16825,$0-999
16832,$0-999
16836,$0-999
16838,$0-999
16847,"50,000-59,999"
16850,$0-999
16853,"25,000-29,999"
16855,"40,000-49,999"
16856,"1,000-1,999"
16859,"300,000-499,999"
16860,"$500,000-999,999"
16865,"30,000-39,999"
16866,"100,000-124,999"
16868,"50,000-59,999"
16870,"100,000-124,999"
16873,"250,000-299,999"
16874,"10,000-14,999"
16878,"25,000-29,999"
16879,"40,000-49,999"
16880,"25,000-29,999"
16881,"90,000-99,999"
16884,"5,000-7,499"
16886,"15,000-19,999"
16892,"70,000-79,999"
16894,$0-999
16895,"4,000-4,999"
16897,"150,000-199,999"
16906,"4,000-4,999"
16909,"1,000-1,999"
16910,"20,000-24,999"
16912,"80,000-89,999"
16913,"30,000-39,999"
16914,"2,000-2,999"
16916,"7,500-9,999"
16920,"1,000-1,999"
16921,"5,000-7,499"
16927,"125,000-149,999"
16928,$0-999
16933,"7,500-9,999"
16939,"20,000-24,999"
16941,"10,000-14,999"
16943,"7,500-9,999"
16949,"125,000-149,999"
